epiweek,time_value,issue,geo_type,geo_value,sars-cov-2_tests,sars-cov-2_positive_tests,flu_tests,flu_positive_tests,flu_ah1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
202338,2023-09-23,2024-09-26,lab,nl,566,89,478,0,0,0,0,0,0,478,0,478.0,0.0,0.0,0.0,8.0,0.0,478.0,6.0,478.0,1.0,478.0,74.0,478.0,0.0
202338,2023-09-23,2024-09-26,lab,pe,130,16,42,0,0,0,0,0,0,42,0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,16.0,0.0,16.0,7.0,16.0,1.0
202338,2023-09-23,2024-09-26,lab,ns,1331,239,1258,1,0,0,1,1,0,1171,1,54.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,54.0,0.0,54.0,14.0,64.0,0.0
202338,2023-09-23,2024-09-26,lab,nb,1158,198,776,0,0,0,0,0,0,776,0,150.0,0.0,0.0,0.0,0.0,0.0,150.0,3.0,150.0,0.0,150.0,26.0,150.0,3.0
202338,2023-09-23,2024-09-26,region,atlantic,3185,542,2554,1,0,0,1,1,0,2467,1,698.0,0.0,0.0,0.0,8.0,0.0,698.0,12.0,698.0,1.0,698.0,121.0,708.0,4.0
202338,2023-09-23,2024-09-26,lab,région nord-est,1647,369,1398,0,0,0,0,0,0,590,1,117.0,1.0,1.0,0.0,0.0,0.0,117.0,2.0,110.0,0.0,117.0,28.0,117.0,1.0
202338,2023-09-23,2024-09-26,lab,québec-chaudière-appalaches,1784,344,1182,3,0,0,1,1,2,1182,6,595.0,0.0,1.0,0.0,0.0,0.0,609.0,9.0,595.0,1.0,620.0,114.0,538.0,10.0
202338,2023-09-23,2024-09-26,lab,centre-du-québec,2125,520,787,0,0,0,0,0,0,563,16,34.0,0.0,0.0,0.0,1.0,0.0,34.0,1.0,34.0,0.0,34.0,9.0,37.0,2.0
202338,2023-09-23,2024-09-26,lab,montréal-laval,2146,405,1496,3,0,0,3,3,0,1313,27,821.0,8.0,6.0,4.0,1.0,0.0,821.0,4.0,821.0,0.0,851.0,93.0,821.0,9.0
202338,2023-09-23,2024-09-26,lab,ouest du québec,1589,406,770,4,0,0,3,3,1,770,7,18.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,0.0,18.0,7.0,18.0,1.0
202338,2023-09-23,2024-09-26,lab,montérégie,1559,372,1267,0,0,0,0,0,0,1267,17,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,2.0,0.0
202338,2023-09-23,2024-09-26,region,qc,10850,2416,6900,10,0,0,7,7,3,5685,74,1587.0,9.0,8.0,4.0,2.0,0.0,1601.0,17.0,1580.0,1.0,1650.0,251.0,1533.0,23.0
202338,2023-09-23,2024-09-26,lab,phol - ottawa,196,85,116,1,0,1,0,1,0,116,0,79.0,0.0,0.0,0.0,0.0,6.0,79.0,0.0,79.0,0.0,79.0,6.0,79.0,0.0
